iter	Passed	Remaining
752	144470	814831
753	144645	814544
754	144824	814278
755	145000	813999
756	145182	813748
757	145355	813455
758	145541	813231
759	145715	812939
760	145895	812680
761	146071	812401
762	146250	812139
763	146425	811857
764	146606	811606
765	146781	811323
766	146971	811120
767	147149	810852
768	147345	810687
769	147558	810615
770	147753	810442
771	147956	810309
772	148194	810371
773	148479	810691
774	148705	810684
775	148893	810470
776	149075	810226
777	149258	809984
778	149438	809727
779	149680	809807
780	149945	810012
781	150148	809879
782	150334	809653
783	150524	809454
784	150700	809175
785	150887	808955
786	151060	808664
787	151244	808427
788	151424	808175
789	151608	807938
790	151781	807645
791	151966	807418
792	152153	807200
793	152350	807033
794	152565	806965
795	152770	806841
796	152954	806610
797	153136	806364
798	153311	806085
799	153498	805866
800	153673	805585
801	153855	805343
802	154030	805063
803	154210	804809
804	154385	804531
805	154570	804304
806	154745	804024
807	154926	803778
808	155108	803535
809	155291	803296
810	155474	803063
811	155703	803062
812	155931	803054
813	156154	803025
814	156356	802888
815	156610	803014
816	156823	802927
817	157020	802763
818	157253	802781
819	157450	802612
820	157659	802507
821	157885	802490
822	158070	802261
823	158256	802038
824	158430	801755
825	158615	801529
826	158801	801303
827	158983	801063
828	159157	800779
829	159341	800547
830	159521	800296
831	159703	800051
832	159879	799779
833	160060	799534
834	160235	799257
835	160418	799020
836	160598	798770
837	160777	798517
838	160954	798248
839	161136	798008
840	161313	797742
841	161494	797501
842	161671	797232
843	161860	797028
844	162036	796759
845	162221	796532
846	162397	796265
847	162583	796044
848	162759	795777
849	162939	795530
850	163115	795259
851	163299	795031
852	163481	794790
853	163663	794553
854	163838	794280
855	164020	794042
856	164194	793764
857	164375	793523
858	164555	793274
859	164737	793039
860	164925	792827
861	165106	792585
862	165281	792315
863	165474	792133
864	165655	791889
865	165834	791641
866	166011	791381
867	166194	791148
868	166368	790872
869	166554	790652
870	166728	790382
871	166912	790154
872	167089	789894
873	167271	789658
874	167452	789421
875	167633	789179
876	167821	788972
877	168001	788726
878	168177	788462
879	168360	788233
880	168540	787989
881	168726	787771
882	168898	787493
883	169078	787246
884	169256	786993
885	169436	786749
886	169611	786484
887	169793	786252
888	169970	785995
889	170149	785746
890	170323	785478
891	170505	785244
892	170683	784992
893	170875	784803
894	171050	784536
895	171229	784290
896	171406	784037
897	171594	783833
898	171777	783604
899	171957	783361
900	172130	783088
901	172309	782844
902	172487	782592
903	172666	782348
904	172840	782080
905	173024	781856
906	173200	781599
907	173380	781359
908	173558	781106
909	173738	780867
910	173921	780641
911	174103	780411
912	174275	780137
913	174455	779897
914	174633	779649
915	174812	779404
916	174991	779159
917	175172	778926
918	175348	778670
919	175530	778437
920	175705	778180
921	175888	777952
922	176064	777699
923	176244	777461
924	176422	777210
925	176602	776974
926	176790	776769
927	176971	776538
928	177144	776269
929	177323	776029
930	177501	775783
931	177682	775547
932	177854	775278
933	178033	775038
934	178211	774791
935	178389	774545
936	178564	774285
937	178747	774062
938	178921	773801
939	179101	773567
940	179276	773310
941	179466	773114
942	179641	772858
943	179850	772746
944	180064	772659
945	180256	772474
946	180443	772266
947	180619	772016
948	180798	771776
949	180973	771518
950	181153	771284
951	181330	771033
952	181519	770838
953	181693	770580
954	181875	770352
955	182069	770178
956	182259	769982
957	182440	769754
958	182621	769523
959	182805	769307
960	182984	769068
961	183158	768806
962	183339	768578
963	183516	768332
964	183695	768093
965	183870	767842
966	184050	767606
967	184224	767349
968	184406	767123
969	184580	766864
970	184763	766643
971	184940	766399
972	185123	766177
973	185296	765916
974	185479	765695
975	185652	765435
976	185845	765257
977	186022	765011
978	186203	764784
979	186374	764517
980	186557	764298
981	186733	764049
982	186958	764001
983	187179	763936
984	187379	763786
985	187564	763574
986	187738	763316
987	187920	763093
988	188095	762840
989	188274	762607
990	188452	762365
991	188637	762155
992	188818	761929
993	188999	761701
994	189171	761439
995	189353	761215
996	189531	760975
997	189709	760738
998	189881	760475
999	190058	760234
1000	190231	759975
1001	190424	759797
1002	190598	759544
1003	190777	759309
1004	190952	759058
1005	191130	758824
1006	191306	758578
1007	191490	758362
1008	191664	758109
1009	191855	757924
1010	192028	757668
1011	192207	757435
1012	192383	757189
1013	192563	756962
1014	192741	756723
1015	192919	756486
1016	193103	756273
1017	193282	756042
1018	193462	755813
1019	193641	755581
1020	193816	755335
1021	193996	755104
1022	194172	754860
1023	194348	754619
1024	194524	754375
1025	194704	754147
1026	194884	753919
1027	195068	753708
1028	195243	753461
1029	195425	753242
1030	195601	752998
1031	195782	752774
1032	195954	752518
1033	196133	752286
1034	196304	752027
1035	196484	751798
1036	196656	751544
1037	196840	751332
1038	197015	751086
1039	197195	750859
1040	197373	750624
1041	197557	750414
1042	197740	750202
1043	197923	749985
1044	198096	749732
1045	198287	749550
1046	198465	749317
1047	198645	749090
1048	198820	748846
1049	199000	748621
1050	199173	748369
1051	199352	748139
1052	199528	747899
1053	199707	747671
1054	199882	747428
1055	200063	747206
1056	200238	746962
1057	200419	746740
1058	200591	746488
1059	200787	746323
1060	200960	746073
1061	201138	745842
1062	201310	745588
1063	201497	745390
1064	201672	745146
1065	201851	744917
1066	202025	744671
1067	202206	744452
1068	202387	744233
1069	202568	744012
1070	202741	743762
1071	202919	743534
1072	203092	743285
1073	203275	743071
1074	203452	742836
1075	203634	742621
1076	203814	742400
1077	203995	742180
1078	204171	741941
1079	204365	741771
1080	204538	741524
1081	204720	741308
1082	204896	741069
1083	205075	740844
1084	205251	740608
1085	205437	740406
1086	205612	740167
1087	205791	739942
1088	205964	739693
1089	206143	739470
1090	206318	739229
1091	206504	739027
1092	206677	738781
1093	206862	738580
1094	207038	738342
1095	207222	738136
1096	207402	737914
1097	207581	737690
1098	207752	737435
1099	207930	737209
1100	208104	736965
1101	208284	736745
1102	208496	736635
1103	208671	736399
1104	208851	736178
1105	209028	735947
1106	209208	735726
1107	209383	735489
1108	209574	735305
1109	209755	735090
1110	209935	734868
1111	210110	734631
1112	210289	734407
1113	210468	734183
1114	210650	733970
1115	210825	733733
1116	211004	733508
1117	211178	733269
1118	211363	733066
1119	211534	732816
1120	211712	732589
1121	211886	732349
1122	212064	732124
1123	212239	731886
1124	212420	731672
1125	212595	731432
1126	212781	731237
1127	212955	730995
1128	213134	730775
1129	213310	730539
1130	213494	730337
1131	213668	730097
1132	213849	729881
1133	214023	729643
1134	214204	729427
1135	214390	729228
1136	214569	729007
1137	214742	728765
1138	214921	728543
1139	215094	728303
1140	215276	728091
1141	215455	727868
1142	215638	727662
1143	215824	727464
1144	216006	727252
1145	216184	727029
1146	216364	726811
1147	216538	726574
1148	216718	726354
1149	216891	726114
1150	217072	725900
1151	217248	725670
1152	217436	725480
1153	217607	725233
1154	217786	725010
1155	217958	724770
1156	218139	724554
1157	218312	724315
1158	218494	724103
1159	218670	723874
1160	218853	723666
1161	219026	723427
1162	219205	723207
1163	219392	723013
1164	219571	722795
1165	219743	722551
1166	219921	722331
1167	220095	722094
1168	220275	721879
1169	220453	721656
1170	220629	721425
1171	220806	721199
1172	220985	720982
1173	221157	720739
1174	221340	720532
1175	221516	720304
1176	221711	720138
1177	221887	719909
1178	222067	719693
1179	222239	719453
1180	222425	719257
1181	222600	719025
1182	222780	718810
1183	222953	718574
1184	223136	718367
1185	223310	718134
1186	223492	717925
1187	223668	717697
1188	223849	717484
1189	224023	717250
1190	224202	717033
1191	224382	716819
1192	224560	716598
1193	224747	716407
1194	224925	716185
1195	225101	715957
1196	225279	715738
1197	225460	715526
1198	225640	715313
1199	225814	715079
1200	225998	714878
1201	226175	714653
1202	226364	714469
1203	226538	714235
1204	226719	714024
1205	226894	713796
1206	227071	713573
1207	227246	713342
1208	227427	713133
1209	227600	712898
1210	227787	712706
1211	227964	712481
1212	228143	712267
1213	228320	712043
1214	228500	711831
1215	228671	711590
1216	228850	711372
1217	229025	711144
1218	229202	710921
1219	229384	710714
1220	229561	710494
1221	229736	710265
1222	229914	710045
1223	230088	709814
1224	230267	709600
1225	230444	709378
1226	230621	709156
1227	230813	708981
1228	230994	708772
1229	231171	708550
1230	231356	708354
1231	231532	708128
1232	231713	707918
1233	231886	707685
1234	232066	707473
1235	232240	707244
1236	232422	707036
1237	232595	706803
1238	232773	706587
1239	232945	706352
1240	233123	706133
1241	233296	705899
1242	233477	705692
1243	233660	705489
